Academic Year,Program Type,Enrollment Date
2020-2021,Elementary School,3/16/2021
2020-2021,Elementary School,8/6/2020
2020-2021,Elementary School,1/9/2021
2020-2021,High School,1/13/2021
2020-2021,Middle School,3/19/2021
2020-2021,Elementary School,7/9/2020
2020-2021,Middle School,5/6/2021
2020-2021,Middle School,3/24/2021
2020-2021,Elementary School,9/28/2020
2020-2021,Middle School,4/24/2021
2020-2021,Elementary School,5/17/2021
2020-2021,Elementary School,3/17/2021
2020-2021,High School,6/26/2021
2020-2021,Elementary School,6/5/2021
2020-2021,Middle School,6/26/2021
2020-2021,Elementary School,6/26/2021
2020-2021,High School,7/15/2020
2020-2021,Elementary School,5/19/2021
2020-2021,Middle School,3/13/2021
2020-2021,Elementary School,5/4/2021
2020-2021,Elementary School,3/26/2021
2020-2021,Elementary School,5/23/2021
2020-2021,Middle School,7/10/2020
2020-2021,High School,3/26/2021
2020-2021,Middle School,5/11/2021
2020-2021,High School,5/27/2021
2020-2021,High School,6/17/2021
2020-2021,Elementary School,5/20/2021
2020-2021,Middle School,5/6/2021
2020-2021,Elementary School,3/17/2021
2020-2021,Elementary School,6/21/2021
2020-2021,High School,4/5/2021
2020-2021,Middle School,5/11/2021
2020-2021,Elementary School,4/2/2021
2020-2021,Elementary School,4/25/2021
2020-2021,Middle School,2/19/2021
2020-2021,High School,4/16/2021
2020-2021,High School,8/27/2020
2020-2021,Elementary School,4/5/2021
2020-2021,High School,4/26/2021
2020-2021,High School,3/23/2021
2020-2021,Middle School,3/16/2021
2020-2021,Elementary School,4/19/2021
2020-2021,Elementary School,6/14/2021
2020-2021,Elementary School,6/14/2021
2020-2021,High School,8/25/2020
2020-2021,Middle School,6/14/2021
2020-2021,Middle School,4/24/2021
2020-2021,Middle School,5/8/2021
2020-2021,Elementary School,5/16/2021
2020-2021,High School,9/19/2020
2020-2021,Elementary School,4/26/2021
2020-2021,Middle School,4/27/2021
2020-2021,Middle School,5/16/2021
2020-2021,High School,1/8/2021
2020-2021,Elementary School,4/18/2021
2020-2021,High School,4/28/2021
2020-2021,Middle School,9/26/2020
2020-2021,Middle School,3/25/2021
2020-2021,Elementary School,5/4/2021
2020-2021,Elementary School,2/23/2021
2020-2021,Middle School,3/28/2021
2020-2021,Elementary School,5/4/2021
2020-2021,Middle School,3/26/2021
2020-2021,Elementary School,6/24/2021
2020-2021,Elementary School,3/19/2021
2020-2021,Elementary School,4/20/2021
2020-2021,Middle School,6/12/2021
2020-2021,Elementary School,6/28/2021
2020-2021,Elementary School,4/2/2021
2020-2021,Middle School,6/8/2021
2020-2021,Middle School,7/3/2020
2020-2021,Elementary School,4/14/2021
2020-2021,High School,5/27/2021
2020-2021,Elementary School,8/15/2020
2020-2021,Middle School,1/28/2021
2020-2021,Elementary School,5/8/2021
2020-2021,Middle School,4/27/2021
2020-2021,Middle School,1/1/2021
2020-2021,Middle School,6/2/2021
2020-2021,Middle School,5/7/2021
2020-2021,High School,4/20/2021
2020-2021,Elementary School,6/24/2021
2020-2021,Elementary School,5/8/2021
2020-2021,Middle School,5/27/2021
2020-2021,Middle School,4/15/2021
2020-2021,High School,6/14/2021
2020-2021,Middle School,11/2/2020
2020-2021,Elementary School,3/1/2021
2020-2021,Middle School,4/4/2021
2020-2021,Middle School,5/7/2021
2020-2021,Elementary School,2/4/2021
2020-2021,High School,6/26/2021
2020-2021,High School,5/17/2021
2020-2021,Elementary School,4/17/2021
2020-2021,Elementary School,5/23/2021
2020-2021,Middle School,2/24/2021
2020-2021,Elementary School,8/16/2020
2020-2021,Elementary School,11/7/2020
2020-2021,Middle School,5/10/2021
2020-2021,High School,5/6/2021
2020-2021,Middle School,6/14/2021
2020-2021,Elementary School,8/26/2020
2020-2021,Elementary School,4/9/2021
2020-2021,Middle School,6/17/2021
2020-2021,High School,6/2/2021
2020-2021,Elementary School,4/22/2021
2020-2021,Middle School,8/7/2020
2020-2021,Middle School,1/22/2021
2020-2021,Middle School,4/7/2021
2020-2021,Middle School,4/26/2021
2020-2021,Elementary School,6/16/2021
2020-2021,Elementary School,6/13/2021
2020-2021,Middle School,5/15/2021
2020-2021,Middle School,4/23/2021
2020-2021,High School,1/6/2021
2020-2021,Elementary School,5/2/2021
2020-2021,Middle School,4/22/2021
2020-2021,Elementary School,6/21/2021
2020-2021,Elementary School,5/26/2021
2020-2021,Elementary School,4/5/2021
2020-2021,Elementary School,10/21/2020
2020-2021,Elementary School,3/17/2021
2020-2021,High School,5/5/2021
2020-2021,Elementary School,5/17/2021
2020-2021,Middle School,5/21/2021
2020-2021,Elementary School,4/23/2021
2020-2021,Middle School,5/11/2021
2020-2021,Elementary School,4/26/2021
2020-2021,Middle School,1/18/2021
2020-2021,Middle School,6/24/2021
2020-2021,Elementary School,8/2/2020
2020-2021,Middle School,4/15/2021
2020-2021,Elementary School,4/21/2021
2020-2021,Middle School,5/12/2021
2020-2021,Middle School,8/22/2020
2020-2021,High School,8/9/2020
2020-2021,High School,5/13/2021
2020-2021,Middle School,6/17/2021
2020-2021,High School,11/9/2020
2020-2021,Elementary School,6/13/2021
2020-2021,Elementary School,4/11/2021
2020-2021,Middle School,5/2/2021
2020-2021,Middle School,12/17/2020
2020-2021,Elementary School,6/1/2021
2020-2021,Middle School,6/4/2021
2020-2021,High School,5/8/2021
2020-2021,Middle School,6/9/2021
2020-2021,Middle School,5/15/2021
2020-2021,High School,5/3/2021
2020-2021,Elementary School,9/25/2020
2020-2021,Elementary School,3/15/2021
2020-2021,High School,4/6/2021
2020-2021,Elementary School,6/27/2021
2020-2021,Middle School,3/7/2021
2020-2021,High School,4/9/2021
2020-2021,Elementary School,7/6/2020
2020-2021,Middle School,2/28/2021
2020-2021,High School,1/27/2021
2020-2021,Elementary School,3/5/2021
2020-2021,Middle School,6/2/2021
2020-2021,Elementary School,6/15/2021
2020-2021,Middle School,5/4/2021
2020-2021,Elementary School,5/7/2021
2020-2021,Elementary School,4/25/2021
2020-2021,Elementary School,3/19/2021
2020-2021,High School,5/17/2021
2020-2021,Middle School,8/28/2020
2020-2021,Middle School,5/23/2021
2020-2021,Elementary School,2/28/2021
2020-2021,High School,4/3/2021
2020-2021,Middle School,6/10/2021
2020-2021,Middle School,1/11/2021
2020-2021,Middle School,1/16/2021
2020-2021,Elementary School,4/6/2021
2020-2021,Middle School,5/20/2021
2020-2021,High School,7/7/2020
2020-2021,Elementary School,1/24/2021
2020-2021,High School,7/14/2020
2020-2021,Elementary School,4/28/2021
2020-2021,Elementary School,6/25/2021
2020-2021,Elementary School,7/15/2020
2020-2021,High School,3/28/2021
2020-2021,Elementary School,8/13/2020
2020-2021,Elementary School,4/26/2021
2020-2021,Middle School,1/23/2021
2020-2021,High School,9/12/2020
2020-2021,Middle School,5/20/2021
2020-2021,Elementary School,2/22/2021
2020-2021,Middle School,3/12/2021
2020-2021,High School,4/20/2021
2020-2021,Middle School,11/4/2020
2020-2021,Elementary School,6/12/2021
2020-2021,Elementary School,3/5/2021
2020-2021,Middle School,2/4/2021
2020-2021,Middle School,7/1/2020
2020-2021,Middle School,6/21/2021
2020-2021,Elementary School,4/4/2021
2020-2021,High School,7/28/2020
2020-2021,Middle School,5/11/2021
2020-2021,Elementary School,1/3/2021
2020-2021,Middle School,4/8/2021
2020-2021,Middle School,7/2/2020
2020-2021,Elementary School,6/20/2021
2020-2021,Elementary School,5/27/2021
2020-2021,High School,1/23/2021
2020-2021,High School,9/3/2020
2020-2021,Elementary School,5/24/2021
2020-2021,Middle School,5/19/2021
2020-2021,Middle School,6/11/2021
2020-2021,Middle School,8/27/2020
2020-2021,Middle School,4/3/2021
2020-2021,Elementary School,10/24/2020
2020-2021,Middle School,6/3/2021
2020-2021,Elementary School,7/8/2020
2020-2021,Middle School,7/7/2020
2020-2021,Elementary School,4/13/2021
2020-2021,Middle School,5/8/2021
2020-2021,Elementary School,3/22/2021
2020-2021,Elementary School,7/26/2020
2020-2021,Elementary School,5/11/2021
2020-2021,Elementary School,4/3/2021
2020-2021,Elementary School,4/15/2021
2020-2021,Middle School,6/6/2021
2020-2021,Middle School,5/25/2021
2020-2021,High School,7/14/2020
2020-2021,Elementary School,1/19/2021
2020-2021,High School,3/12/2021
2020-2021,Elementary School,3/20/2021
2020-2021,Elementary School,6/5/2021
2020-2021,Elementary School,4/1/2021
2020-2021,Middle School,5/14/2021
2020-2021,Middle School,7/5/2020
2020-2021,High School,4/19/2021
2020-2021,Elementary School,6/3/2021
2020-2021,Middle School,5/18/2021
2020-2021,Elementary School,4/27/2021
2020-2021,Elementary School,4/19/2021
2020-2021,High School,10/22/2020
2020-2021,Elementary School,5/12/2021
2020-2021,Elementary School,4/1/2021
2020-2021,High School,5/5/2021
2020-2021,Elementary School,8/27/2020
2020-2021,High School,5/13/2021
2020-2021,Middle School,5/24/2021
2020-2021,Elementary School,3/10/2021
2020-2021,Middle School,3/17/2021
2020-2021,Elementary School,6/7/2021
2020-2021,Elementary School,4/25/2021
2020-2021,Elementary School,5/11/2021
2020-2021,High School,6/16/2021
2020-2021,Elementary School,5/16/2021
2020-2021,Elementary School,8/11/2020
2020-2021,High School,5/22/2021
2020-2021,Middle School,5/19/2021
2020-2021,High School,6/6/2021
2020-2021,Elementary School,4/27/2021
2020-2021,High School,3/7/2021
2020-2021,Elementary School,3/23/2021
2020-2021,Middle School,8/9/2020
2020-2021,Middle School,7/4/2020
2020-2021,Middle School,4/6/2021
2020-2021,Elementary School,6/14/2021
2020-2021,Elementary School,5/3/2021
2020-2021,High School,7/2/2020
2020-2021,High School,6/7/2021
2020-2021,Middle School,5/8/2021
2020-2021,Elementary School,1/26/2021
2020-2021,Middle School,5/13/2021
2020-2021,Middle School,5/12/2021
2020-2021,Elementary School,4/26/2021
2020-2021,Elementary School,8/5/2020
2020-2021,Middle School,4/16/2021
2020-2021,Elementary School,5/26/2021
2020-2021,Elementary School,3/22/2021
2020-2021,High School,4/24/2021
2020-2021,Middle School,3/25/2021
2020-2021,Middle School,7/25/2020
2020-2021,Middle School,7/19/2020
2020-2021,High School,8/17/2020
2020-2021,Elementary School,7/27/2020
2020-2021,Elementary School,6/5/2021
2020-2021,Elementary School,5/24/2021
2020-2021,Elementary School,7/7/2020
2020-2021,Middle School,6/22/2021
2020-2021,High School,5/15/2021
2020-2021,Elementary School,8/16/2020
2020-2021,Elementary School,4/18/2021
2020-2021,High School,6/9/2021
2020-2021,High School,5/17/2021
2020-2021,Middle School,4/10/2021
2020-2021,Elementary School,8/11/2020
2020-2021,Elementary School,6/17/2021
2020-2021,High School,7/6/2020
2020-2021,Elementary School,9/11/2020
2020-2021,High School,4/4/2021
2020-2021,Elementary School,6/26/2021
2020-2021,Elementary School,1/23/2021
2020-2021,High School,6/22/2021
2020-2021,Middle School,6/24/2021
2020-2021,Middle School,5/17/2021
2020-2021,High School,6/17/2021
2020-2021,Middle School,10/23/2020
2020-2021,Elementary School,2/9/2021
2020-2021,Elementary School,1/22/2021
2020-2021,Elementary School,7/1/2020
2020-2021,High School,4/1/2021
2020-2021,High School,7/13/2020
2020-2021,Elementary School,11/25/2020
2020-2021,Middle School,5/23/2021
2020-2021,Elementary School,6/15/2021
2020-2021,Elementary School,5/6/2021
2020-2021,Elementary School,7/9/2020
2020-2021,Elementary School,5/28/2021
2020-2021,Middle School,3/3/2021
2020-2021,High School,5/28/2021
2020-2021,High School,5/1/2021
2020-2021,High School,3/2/2021
2020-2021,Elementary School,6/4/2021
2020-2021,High School,4/2/2021
2020-2021,High School,4/19/2021
2020-2021,Elementary School,5/9/2021
2020-2021,Elementary School,4/4/2021
2020-2021,Elementary School,4/6/2021
2020-2021,High School,7/14/2020
2020-2021,High School,7/16/2020
2020-2021,Elementary School,5/11/2021
2020-2021,Middle School,7/19/2020
2020-2021,Elementary School,5/15/2021
2020-2021,Elementary School,5/28/2021
2020-2021,Elementary School,10/26/2020
2020-2021,Elementary School,1/24/2021
2020-2021,Elementary School,3/19/2021
2020-2021,Elementary School,5/22/2021
2020-2021,Elementary School,10/11/2020
2020-2021,High School,5/11/2021
2020-2021,Elementary School,7/12/2020
2020-2021,High School,6/10/2021
2020-2021,Middle School,5/13/2021
2020-2021,Elementary School,7/28/2020
2020-2021,Elementary School,4/27/2021
2020-2021,Elementary School,3/26/2021
2020-2021,Middle School,5/1/2021
2020-2021,Middle School,4/24/2021
2020-2021,High School,3/16/2021
2020-2021,Elementary School,4/12/2021
2020-2021,Elementary School,3/12/2021
2020-2021,High School,3/20/2021
2020-2021,Elementary School,5/13/2021
2020-2021,High School,5/25/2021
2020-2021,Middle School,4/5/2021
2020-2021,High School,7/9/2020
2020-2021,Elementary School,5/12/2021
2020-2021,High School,1/24/2021
2020-2021,Elementary School,4/27/2021
2020-2021,High School,5/3/2021
2020-2021,Elementary School,6/22/2021
2020-2021,High School,3/7/2021
2020-2021,Elementary School,7/11/2020
2020-2021,Middle School,6/17/2021
2020-2021,Elementary School,7/15/2020
2020-2021,Elementary School,5/17/2021
2020-2021,High School,12/12/2020
2020-2021,Elementary School,7/3/2020
2020-2021,Elementary School,6/9/2021
2020-2021,Elementary School,5/21/2021
2020-2021,Elementary School,4/7/2021
2020-2021,Middle School,5/25/2021
2020-2021,Elementary School,4/17/2021
2020-2021,High School,4/8/2021
2020-2021,High School,7/13/2020
2020-2021,Middle School,3/5/2021
2020-2021,High School,7/26/2020
2020-2021,Middle School,7/13/2020
2020-2021,Elementary School,2/23/2021
2020-2021,Middle School,12/14/2020
2020-2021,Elementary School,5/15/2021
2020-2021,Middle School,5/4/2021
2020-2021,High School,7/21/2020
2020-2021,Middle School,4/4/2021
2020-2021,Middle School,6/10/2021
2020-2021,Elementary School,5/12/2021
2020-2021,Elementary School,5/28/2021
2020-2021,Elementary School,3/14/2021
2020-2021,Middle School,5/19/2021
2020-2021,Elementary School,7/5/2020
2020-2021,Elementary School,4/22/2021
2020-2021,High School,8/20/2020
2020-2021,Elementary School,4/10/2021
2020-2021,Middle School,6/16/2021
2020-2021,High School,5/15/2021
2020-2021,High School,5/3/2021
2020-2021,Middle School,3/18/2021
2020-2021,Elementary School,2/7/2021
2020-2021,Elementary School,5/23/2021
2020-2021,Elementary School,3/24/2021
2020-2021,Elementary School,4/14/2021
2020-2021,Elementary School,4/1/2021
2020-2021,High School,6/13/2021
2020-2021,Middle School,6/25/2021
2020-2021,Elementary School,6/3/2021
2020-2021,Middle School,6/8/2021
2020-2021,Middle School,5/11/2021
2020-2021,Elementary School,7/18/2020
2020-2021,High School,4/13/2021
2020-2021,Middle School,2/15/2021
2020-2021,High School,4/15/2021
2020-2021,Middle School,4/2/2021
2020-2021,High School,4/21/2021
2020-2021,Elementary School,5/25/2021
2020-2021,Elementary School,7/4/2020
2020-2021,High School,8/14/2020
2020-2021,High School,5/21/2021
2020-2021,Middle School,6/16/2021
2020-2021,Elementary School,4/23/2021
2020-2021,Elementary School,5/16/2021
2020-2021,High School,7/2/2020
2020-2021,High School,8/13/2020
2020-2021,Middle School,9/11/2020
2020-2021,Elementary School,5/12/2021
2020-2021,Elementary School,8/12/2020
2020-2021,Elementary School,5/26/2021
2020-2021,High School,4/20/2021
2020-2021,Elementary School,5/25/2021
2020-2021,Elementary School,4/1/2021
2020-2021,Elementary School,4/25/2021
2020-2021,Elementary School,4/23/2021
2020-2021,Elementary School,5/28/2021
2020-2021,Elementary School,5/18/2021
2020-2021,Elementary School,7/25/2020
2020-2021,Middle School,7/5/2020
2020-2021,Elementary School,6/8/2021
2020-2021,Elementary School,6/7/2021
2020-2021,Middle School,3/9/2021
2020-2021,Elementary School,5/20/2021
2020-2021,Elementary School,3/14/2021
2020-2021,Elementary School,2/11/2021
2020-2021,Elementary School,6/14/2021
2020-2021,Elementary School,5/12/2021
2020-2021,Middle School,9/16/2020
2020-2021,High School,2/3/2021
2020-2021,Middle School,8/23/2020
2020-2021,Middle School,5/12/2021
2020-2021,Elementary School,6/17/2021
2020-2021,Middle School,5/23/2021
2020-2021,High School,2/26/2021
2020-2021,Elementary School,6/1/2021
2020-2021,Elementary School,9/20/2020
2020-2021,Elementary School,4/21/2021
2020-2021,Middle School,3/16/2021
2020-2021,High School,2/15/2021
2020-2021,Elementary School,6/23/2021
2020-2021,Elementary School,5/6/2021
2020-2021,Elementary School,9/16/2020
2020-2021,Elementary School,8/5/2020
2020-2021,Elementary School,5/4/2021
2020-2021,High School,6/26/2021
2020-2021,High School,5/18/2021
2020-2021,Middle School,4/12/2021
2020-2021,Middle School,8/22/2020
2020-2021,Elementary School,5/23/2021
2020-2021,Elementary School,4/14/2021
2020-2021,High School,2/18/2021
2020-2021,Elementary School,1/28/2021
2020-2021,Elementary School,4/17/2021
2020-2021,Elementary School,3/24/2021
2020-2021,Elementary School,5/7/2021
2020-2021,Middle School,6/25/2021
2020-2021,Elementary School,7/10/2020
2020-2021,Elementary School,5/6/2021
2020-2021,Middle School,4/22/2021
2020-2021,Elementary School,7/26/2020
2020-2021,Elementary School,3/9/2021
2020-2021,Middle School,1/26/2021
2020-2021,Elementary School,4/1/2021
2020-2021,High School,5/28/2021
2020-2021,High School,5/20/2021
2020-2021,High School,7/7/2020
2020-2021,Elementary School,2/24/2021
2020-2021,Middle School,10/4/2020
2020-2021,Elementary School,6/7/2021
2020-2021,Elementary School,5/14/2021
2020-2021,Elementary School,4/12/2021
2020-2021,Elementary School,2/10/2021
2020-2021,Middle School,5/19/2021
2020-2021,Middle School,5/14/2021
2020-2021,Elementary School,3/23/2021
2020-2021,Elementary School,4/18/2021
2020-2021,Middle School,5/2/2021
2020-2021,Elementary School,3/4/2021
2020-2021,Elementary School,6/23/2021
2020-2021,Elementary School,3/16/2021
2020-2021,Elementary School,5/13/2021
2020-2021,High School,4/5/2021
2020-2021,Elementary School,5/11/2021
2020-2021,Elementary School,4/13/2021
2020-2021,Elementary School,5/26/2021
2020-2021,High School,1/14/2021
2020-2021,Middle School,5/10/2021
2020-2021,Elementary School,5/22/2021
2020-2021,High School,7/21/2020
2020-2021,High School,6/7/2021
2020-2021,Middle School,4/13/2021
2020-2021,Elementary School,4/6/2021
